,pollster,date_x,sample,moe,Trump (R),Biden (D),spread,Difference,Type of Voter,Sample Size,End Date,Poll Month,Year,Days Since 01-01-23,date_y,trump,biden,biden_rolling,trump_rolling
140,NPR/PBS/Marist,9/25 - 9/28,1137 RV,3.7,47.0,49.0,Biden+2,-2.0,RV,1137,2023-09-28,9,2023,270,2023-09-28,32.1,30.1,30.1,32.1
141,Economist/YouGov,9/23 - 9/26,1293 RV,3.2,40.0,45.0,Biden+5,-5.0,RV,1293,2023-09-26,9,2023,268,2023-09-26,31.6,30.9,30.9,31.6
142,Morning Consult,9/22 - 9/24,6000 RV,1.0,42.0,43.0,Biden+1,-1.0,RV,6000,2023-09-24,9,2023,266,2023-09-24,30.1,31.5,31.5,30.1
143,Marquette,9/18 - 9/25,781 RV,4.4,51.0,48.0,Trump+3,3.0,RV,781,2023-09-25,9,2023,267,2023-09-25,30.1,31.5,31.5,30.1
144,ABC News/Wash Post,9/15 - 9/20,890 RV,4.0,52.0,42.0,Trump+10,10.0,RV,890,2023-09-20,9,2023,262,2023-09-20,29.4,31.9,31.9,29.4
145,NBC News,9/15 - 9/19,1000 RV,3.1,46.0,46.0,Tie,0.0,RV,1000,2023-09-19,9,2023,261,2023-09-19,29.1,32.1,32.1,29.1
146,The Messenger/HarrisX,9/13 - 9/19,3015 RV,1.8,46.0,41.0,Trump+5,5.0,RV,3015,2023-09-19,9,2023,261,2023-09-19,29.1,32.1,32.1,29.1
147,Emerson,9/17 - 9/18,1125 RV,2.8,45.0,45.0,Tie,0.0,RV,1125,2023-09-18,9,2023,260,2023-09-18,29.1,32.6,32.6,29.1
148,Yahoo News,9/14 - 9/18,1097 RV,3.3,44.0,44.0,Tie,0.0,RV,1097,2023-09-18,9,2023,260,2023-09-18,29.1,32.6,32.6,29.1
149,Morning Consult,9/15 - 9/17,6000 RV,1.0,42.0,42.0,Tie,0.0,RV,6000,2023-09-17,9,2023,259,2023-09-17,29.0,32.6,32.6,29.0
150,CBS News,9/12 - 9/15,2680 LV,2.6,50.0,49.0,Trump+1,1.0,LV,2680,2023-09-15,9,2023,257,2023-09-15,29.2,32.7,32.7,29.2
151,Harvard-Harris,9/12 - 9/14,2103 RV,—,44.0,40.0,Trump+4,4.0,RV,2103,2023-09-14,9,2023,256,2023-09-14,29.0,32.7,32.7,29.0
152,NY Times/Siena,9/6 - 9/14,1399 RV,3.6,42.0,45.0,Biden+3,-3.0,RV,1399,2023-09-14,9,2023,256,2023-09-14,29.0,32.7,32.7,29.0
153,Rasmussen Reports,9/11 - 9/13,979 LV,3.0,42.0,43.0,Biden+1,-1.0,LV,979,2023-09-13,9,2023,255,2023-09-13,29.0,33.3,33.3,29.0
154,Economist/YouGov,9/10 - 9/12,1334 RV,3.0,43.0,44.0,Biden+1,-1.0,RV,1334,2023-09-12,9,2023,254,2023-09-12,28.7,33.6,33.6,28.7
155,FOX News,9/9 - 9/12,1012 RV,3.0,48.0,46.0,Trump+2,2.0,RV,1012,2023-09-12,9,2023,254,2023-09-12,28.7,33.6,33.6,28.7
156,Quinnipiac,9/7 - 9/11,1726 RV,2.4,46.0,47.0,Biden+1,-1.0,RV,1726,2023-09-11,9,2023,253,2023-09-11,28.4,33.4,33.4,28.4
157,The Messenger/HarrisX,9/6 - 9/11,3015 RV,1.8,44.0,43.0,Trump+1,1.0,RV,3015,2023-09-11,9,2023,253,2023-09-11,28.4,33.4,33.4,28.4
158,Morning Consult,9/8 - 9/10,6000 RV,1.0,42.0,44.0,Biden+2,-2.0,RV,6000,2023-09-10,9,2023,252,2023-09-10,28.3,33.5,33.5,28.3
159,CNN,8/25 - 8/31,1259 RV,3.6,47.0,46.0,Trump+1,1.0,RV,1259,2023-08-31,8,2023,242,2023-08-31,27.7,34.9,34.9,27.7
160,Wall Street Journal,8/24 - 8/30,1500 RV,3.6,46.0,46.0,Tie,0.0,RV,1500,2023-08-30,8,2023,241,2023-08-30,27.0,34.9,34.9,27.0
161,Morning Consult,9/2 - 9/4,5000 RV,1.0,41.0,44.0,Biden+3,-3.0,RV,5000,2023-09-04,9,2023,246,2023-09-04,26.8,34.2,34.2,26.8
162,Economist/YouGov,8/26 - 8/29,1303 RV,3.1,44.0,43.0,Trump+1,1.0,RV,1303,2023-08-29,8,2023,240,2023-08-29,27.6,34.6,34.6,27.6
163,Morning Consult,8/25 - 8/27,5000 RV,1.0,42.0,43.0,Biden+1,-1.0,RV,5000,2023-08-27,8,2023,238,2023-08-27,27.6,35.1,35.1,27.6
164,Emerson,8/25 - 8/26,1000 RV,3.0,46.0,44.0,Trump+2,2.0,RV,1000,2023-08-26,8,2023,237,2023-08-26,27.6,35.1,35.1,27.6
165,The Messenger/HarrisX,8/24 - 8/26,2013 RV,2.1,44.0,45.0,Biden+1,-1.0,RV,2013,2023-08-26,8,2023,237,2023-08-26,27.6,35.1,35.1,27.6
166,New York Post,8/23 - 8/24,1551 RV,—,44.0,41.0,Trump+3,3.0,RV,1551,2023-08-24,8,2023,235,2023-08-24,27.1,35.0,35.0,27.1
167,Emerson,8/23 - 8/24,1000 RV,3.0,42.0,43.0,Biden+1,-1.0,RV,1000,2023-08-24,8,2023,235,2023-08-24,27.1,35.0,35.0,27.1
168,Yahoo News,8/17 - 8/21,1113 RV,3.2,41.0,47.0,Biden+6,-6.0,RV,1113,2023-08-21,8,2023,232,2023-08-21,26.9,35.1,35.1,26.9
169,Morning Consult,8/18 - 8/20,6000 RV,1.0,41.0,43.0,Biden+2,-2.0,RV,6000,2023-08-20,8,2023,231,2023-08-20,27.3,35.0,35.0,27.3
170,Emerson,8/16 - 8/17,1000 RV,3.0,44.0,44.0,Tie,0.0,RV,1000,2023-08-17,8,2023,228,2023-08-17,26.8,34.6,34.6,26.8
171,Rasmussen Reports,8/16 - 8/17,1000 LV,3.0,43.0,37.0,Trump+6,6.0,LV,1000,2023-08-17,8,2023,228,2023-08-17,26.8,34.6,34.6,26.8
172,FOX News,8/11 - 8/14,1002 RV,3.0,41.0,44.0,Biden+3,-3.0,RV,1002,2023-08-14,8,2023,225,2023-08-14,27.8,34.8,34.8,27.8
173,Quinnipiac,8/10 - 8/14,1632 RV,2.3,46.0,47.0,Biden+1,-1.0,RV,1632,2023-08-14,8,2023,225,2023-08-14,27.8,34.8,34.8,27.8
174,Marist,8/11 - 8/14,1100 RV,3.7,46.0,47.0,Biden+1,-1.0,RV,1100,2023-08-14,8,2023,225,2023-08-14,27.8,34.8,34.8,27.8
175,Economist/YouGov,8/12 - 8/15,1321 RV,3.1,42.0,43.0,Biden+1,-1.0,RV,1321,2023-08-15,8,2023,226,2023-08-15,27.6,34.9,34.9,27.6
176,Morning Consult,8/11 - 8/13,6000 RV,1.0,41.0,43.0,Biden+2,-2.0,RV,6000,2023-08-13,8,2023,224,2023-08-13,28.0,35.1,35.1,28.0
177,Morning Consult,8/4 - 8/6,6000 RV,1.0,42.0,43.0,Biden+1,-1.0,RV,6000,2023-08-06,8,2023,217,2023-08-06,27.6,33.8,33.8,27.6
178,InsiderAdvantage,7/31 - 8/1,850 LV,3.4,44.0,45.0,Biden+1,-1.0,LV,850,2023-08-01,8,2023,212,2023-08-01,27.9,32.7,32.7,27.9
179,NY Times/Siena,7/23 - 7/27,1329 RV,3.7,43.0,43.0,Tie,0.0,RV,1329,2023-07-27,7,2023,207,2023-07-27,27.6,32.7,32.7,27.6
180,Rasmussen Reports,7/26 - 7/27,1000 LV,3.0,46.0,40.0,Trump+6,6.0,LV,1000,2023-07-27,7,2023,207,2023-07-27,27.6,32.7,32.7,27.6
181,Morning Consult,7/28 - 7/30,6000 RV,1.0,41.0,44.0,Biden+3,-3.0,RV,6000,2023-07-30,7,2023,210,2023-07-30,27.4,32.9,32.9,27.4
182,The Messenger/HarrisX,7/21 - 7/24,922 RV,3.2,46.0,42.0,Trump+4,4.0,RV,922,2023-07-24,7,2023,204,2023-07-24,27.6,32.9,32.9,27.6
183,Economist/YouGov,7/22 - 7/25,1306 RV,3.0,40.0,44.0,Biden+4,-4.0,RV,1306,2023-07-25,7,2023,205,2023-07-25,27.6,32.9,32.9,27.6
184,Morning Consult,7/21 - 7/23,6000 RV,1.0,41.0,43.0,Biden+2,-2.0,RV,6000,2023-07-23,7,2023,203,2023-07-23,27.9,32.1,32.1,27.9
185,Harvard-Harris,7/19 - 7/20,2068 RV,—,45.0,40.0,Trump+5,5.0,RV,2068,2023-07-20,7,2023,200,2023-07-20,27.6,32.6,32.6,27.6
186,Emerson,7/19 - 7/20,1078 RV,2.9,46.0,43.0,Trump+3,3.0,RV,1078,2023-07-20,7,2023,200,2023-07-20,27.6,32.6,32.6,27.6
187,Quinnipiac,7/13 - 7/17,1809 RV,2.3,44.0,49.0,Biden+5,-5.0,RV,1809,2023-07-17,7,2023,197,2023-07-17,27.3,33.9,33.9,27.3
188,Yahoo News,7/13 - 7/17,1098 RV,—,43.0,47.0,Biden+4,-4.0,RV,1098,2023-07-17,7,2023,197,2023-07-17,27.3,33.9,33.9,27.3
189,Morning Consult,7/14 - 7/16,6000 RV,1.0,41.0,43.0,Biden+2,-2.0,RV,6000,2023-07-16,7,2023,196,2023-07-16,27.1,33.8,33.8,27.1
190,Marquette,7/7 - 7/12,788 RV,4.2,50.0,50.0,Tie,0.0,RV,788,2023-07-12,7,2023,192,2023-07-12,26.1,34.2,34.2,26.1
191,Morning Consult,7/7 - 7/9,6000 RV,1.0,42.0,43.0,Biden+1,-1.0,RV,6000,2023-07-09,7,2023,189,2023-07-09,26.0,33.8,33.8,26.0
192,Economist/YouGov,7/8 - 7/11,1296 RV,2.9,42.0,42.0,Tie,0.0,RV,1296,2023-07-11,7,2023,191,2023-07-11,26.0,34.1,34.1,26.0
193,The Messenger/HarrisX,7/5 - 7/6,915 RV,3.2,44.0,44.0,Tie,0.0,RV,915,2023-07-06,7,2023,186,2023-07-06,25.8,34.3,34.3,25.8
194,Economist/YouGov,6/24 - 6/27,1315 RV,3.2,44.0,40.0,Trump+4,4.0,RV,1315,2023-06-27,6,2023,177,2023-06-27,25.4,34.6,34.6,25.4
195,The Messenger/HarrisX,6/19 - 6/23,2875 RV,1.8,45.0,43.0,Trump+2,2.0,RV,2875,2023-06-23,6,2023,173,2023-06-23,25.0,34.8,34.8,25.0
196,NBC News,6/16 - 6/20,1000 RV,3.1,45.0,49.0,Biden+4,-4.0,RV,1000,2023-06-20,6,2023,170,2023-06-20,24.2,34.8,34.8,24.2
197,Emerson,6/19 - 6/20,1015 RV,3.0,43.0,44.0,Biden+1,-1.0,RV,1015,2023-06-20,6,2023,170,2023-06-20,24.2,34.8,34.8,24.2
198,Yahoo News,6/16 - 6/20,1091 RV,—,42.0,46.0,Biden+4,-4.0,RV,1091,2023-06-20,6,2023,170,2023-06-20,24.2,34.8,34.8,24.2
199,The Messenger/HarrisX,6/15 - 6/16,930 RV,3.1,45.0,43.0,Trump+2,2.0,RV,930,2023-06-16,6,2023,166,2023-06-16,24.6,36.9,36.9,24.6
200,Harvard-Harris,6/14 - 6/15,2090 RV,—,45.0,39.0,Trump+6,6.0,RV,2090,2023-06-15,6,2023,165,2023-06-15,24.3,36.9,36.9,24.3
201,Rasmussen Reports,6/12 - 6/14,986 LV,3.0,45.0,39.0,Trump+6,6.0,LV,986,2023-06-14,6,2023,164,2023-06-14,24.0,36.7,36.7,24.0
202,Economist/YouGov,6/10 - 6/13,1303 RV,2.9,41.0,41.0,Tie,0.0,RV,1303,2023-06-13,6,2023,163,2023-06-13,23.9,36.9,36.9,23.9
203,Quinnipiac,6/8 - 6/12,1735 RV,2.4,44.0,48.0,Biden+4,-4.0,RV,1735,2023-06-12,6,2023,162,2023-06-12,23.7,37.0,37.0,23.7
204,Economist/YouGov,5/27 - 5/31,1313 RV,3.0,40.0,43.0,Biden+3,-3.0,RV,1313,2023-05-31,5,2023,150,2023-05-31,26.2,35.8,35.8,26.2
205,Yahoo News**,5/25 - 5/30,1015 RV,3.0,41.0,48.0,Biden+7,-7.0,RV,1015,2023-05-30,5,2023,149,2023-05-30,26.0,35.8,35.8,26.0
206,Quinnipiac,5/18 - 5/22,1616 RV,3.8,46.0,48.0,Biden+2,-2.0,RV,1616,2023-05-22,5,2023,141,2023-05-22,26.7,36.0,36.0,26.7
207,Harvard-Harris,5/17 - 5/18,2004 RV,—,47.0,40.0,Trump+7,7.0,RV,2004,2023-05-18,5,2023,137,2023-05-18,27.9,37.6,37.6,27.9
208,Marquette,5/8 - 5/18,833 RV,4.1,52.0,47.0,Trump+5,5.0,RV,833,2023-05-18,5,2023,137,2023-05-18,27.9,37.6,37.6,27.9
209,Economist/YouGov,5/13 - 5/16,1302 RV,3.0,44.0,42.0,Trump+2,2.0,RV,1302,2023-05-16,5,2023,135,2023-05-16,28.0,37.4,37.4,28.0
210,Yahoo News**,5/5 - 5/8,1060 RV,3.0,43.0,45.0,Biden+2,-2.0,RV,1060,2023-05-08,5,2023,127,2023-05-08,28.0,38.5,38.5,28.0
211,ABC News/Wash Post,4/28 - 5/3,900 RV,4.0,45.0,39.0,Trump+6,6.0,RV,900,2023-05-03,5,2023,122,2023-05-03,27.7,39.0,39.0,27.7
212,Economist/YouGov,4/29 - 5/2,1357 RV,3.0,46.0,46.0,Tie,0.0,RV,1357,2023-05-02,5,2023,121,2023-05-02,28.5,40.8,40.8,28.5
213,Emerson,4/24 - 4/25,1000 RV,2.9,41.0,43.0,Biden+2,-2.0,RV,1000,2023-04-25,4,2023,114,2023-04-25,28.3,37.3,37.3,28.3
214,Politico/Morning Consult,4/22 - 4/25,2004 RV,2.0,44.0,45.0,Biden+1,-1.0,RV,2004,2023-04-25,4,2023,114,2023-04-25,28.3,37.3,37.3,28.3
215,Harvard-Harris,4/18 - 4/19,1845 RV,—,45.0,40.0,Trump+5,5.0,RV,1845,2023-04-19,4,2023,108,2023-04-19,27.2,35.2,35.2,27.2
216,Wall Street Journal,4/11 - 4/17,1500 RV,2.5,45.0,48.0,Biden+3,-3.0,RV,1500,2023-04-17,4,2023,106,2023-04-17,27.1,34.8,34.8,27.1
217,Yahoo News**,4/14 - 4/17,1027 RV,3.0,42.0,46.0,Biden+4,-4.0,RV,1027,2023-04-17,4,2023,106,2023-04-17,27.1,34.8,34.8,27.1
218,Economist/YouGov,4/15 - 4/18,1316 RV,3.0,44.0,43.0,Trump+1,1.0,RV,1316,2023-04-18,4,2023,107,2023-04-18,27.3,35.0,35.0,27.3
219,Economist/YouGov,4/8 - 4/11,1322 RV,2.9,44.0,43.0,Trump+1,1.0,RV,1322,2023-04-11,4,2023,100,2023-04-11,26.4,33.9,33.9,26.4
220,Rasmussen Reports,3/30 - 4/3,971 LV,3.0,47.0,40.0,Trump+7,7.0,LV,971,2023-04-03,4,2023,92,2023-04-03,25.2,33.7,33.7,25.2
221,Economist/YouGov,4/1 - 4/4,1319 RV,3.0,44.0,42.0,Trump+2,2.0,RV,1319,2023-04-04,4,2023,93,2023-04-04,25.4,33.6,33.6,25.4
222,Yahoo News**,3/30 - 3/31,729 RV,4.0,43.0,45.0,Biden+2,-2.0,RV,729,2023-03-31,3,2023,89,2023-03-31,25.4,32.7,32.7,25.4
223,Quinnipiac,3/23 - 3/27,1600 RV,2.5,46.0,48.0,Biden+2,-2.0,RV,1600,2023-03-27,3,2023,85,2023-03-27,24.8,32.0,32.0,24.8
224,Harvard-Harris,3/22 - 3/23,2905 RV,—,45.0,41.0,Trump+4,4.0,RV,2905,2023-03-23,3,2023,81,2023-03-23,24.0,31.8,31.8,24.0
225,Yahoo News**,3/16 - 3/20,1060 RV,2.7,43.0,45.0,Biden+2,-2.0,RV,1060,2023-03-20,3,2023,78,2023-03-20,24.0,31.6,31.6,24.0
226,Emerson,3/18 - 3/20,1023 RV,3.0,45.0,42.0,Trump+3,3.0,RV,1023,2023-03-20,3,2023,78,2023-03-20,24.0,31.6,31.6,24.0
227,Marquette,3/12 - 3/22,863 RV,4.0,38.0,38.0,Tie,0.0,RV,863,2023-03-22,3,2023,80,2023-03-22,24.0,31.9,31.9,24.0
228,Quinnipiac,3/9 - 3/13,677 RV,3.8,45.0,49.0,Biden+4,-4.0,RV,677,2023-03-13,3,2023,71,2023-03-13,23.9,31.4,31.4,23.9
229,Yahoo News**,2/23 - 2/27,1014 RV,2.7,45.0,43.0,Trump+2,2.0,RV,1014,2023-02-27,2,2023,57,2023-02-27,22.4,29.1,29.1,22.4
230,Emerson,2/24 - 2/25,1060 RV,2.9,46.0,42.0,Trump+4,4.0,RV,1060,2023-02-25,2,2023,55,2023-02-25,22.7,29.3,29.3,22.7
231,Susquehanna,2/19 - 2/26,800 RV,3.2,39.0,52.0,Biden+13,-13.0,RV,800,2023-02-26,2,2023,56,2023-02-26,22.7,29.2,29.2,22.7
232,Harvard-Harris,2/15 - 2/16,1838 RV,—,46.0,41.0,Trump+5,5.0,RV,1838,2023-02-16,2,2023,46,2023-02-16,22.8,29.2,29.2,22.8
233,Quinnipiac,2/9 - 2/14,"1,429 RV",2.6,46.0,48.0,Biden+2,-2.0,RV,0,2023-02-14,2,2023,44,2023-02-14,23.0,29.0,29.0,23.0
234,PPP (D),2/10 - 2/11,1056 RV,—,45.0,49.0,Biden+4,-4.0,RV,1056,2023-02-11,2,2023,41,2023-02-11,21.6,28.2,28.2,21.6
235,Rasmussen Reports,2/8 - 2/12,900 LV,3.0,42.0,45.0,Biden+3,-3.0,LV,900,2023-02-12,2,2023,42,2023-02-12,21.8,28.4,28.4,21.8
236,Reuters/Ipsos,2/6 - 2/13,944 RV,4.0,42.0,39.0,Trump+3,3.0,RV,944,2023-02-13,2,2023,43,2023-02-13,23.0,28.8,28.8,23.0
237,Yahoo News**,2/2 - 2/6,1063 RV,2.8,41.0,47.0,Biden+6,-6.0,RV,1063,2023-02-06,2,2023,36,2023-02-06,20.4,26.6,26.6,20.4
238,ABC News/Wash Post,1/27 - 2/1,895 RV,4.0,48.0,45.0,Trump+3,3.0,RV,895,2023-02-01,2,2023,31,2023-02-01,20.4,26.6,26.6,20.4
239,Emerson,1/19 - 1/21,1015 RV,3.0,44.0,41.0,Trump+3,3.0,RV,1015,2023-01-21,1,2023,20,2023-01-21,18.0,25.4,25.4,18.0
240,Harvard-Harris,1/18 - 1/19,2050 RV,—,46.0,41.0,Trump+5,5.0,RV,2050,2023-01-19,1,2023,18,2023-01-19,17.8,25.2,25.2,17.8
241,Economist/YouGov,1/14 - 1/17,1314 RV,3.0,42.0,46.0,Biden+4,-4.0,RV,1314,2023-01-17,1,2023,16,2023-01-17,17.2,26.0,26.0,17.2
242,Marquette,1/9 - 1/20,790 RV,4.0,40.0,40.0,Tie,0.0,RV,790,2023-01-20,1,2023,19,2023-01-20,17.4,25.8,25.8,17.4
243,Harvard-Harris,1/19 - 1/20,1815 RV,—,46.0,40.0,Trump+6,6.0,RV,1815,2023-01-20,1,2023,19,2023-01-20,17.4,25.8,25.8,17.4
244,Yahoo News**,1/12 - 1/16,1028 RV,2.7,40.0,46.0,Biden+6,-6.0,RV,1028,2023-01-16,1,2023,15,2023-01-16,16.5,25.7,25.7,16.5
245,Harvard-Harris,12/14 - 12/15,1851 RV,—,45.0,40.0,Trump+5,5.0,RV,1851,2023-12-15,12,2023,348,2023-12-15,36.2,30.4,30.4,36.2
246,USA Today/Suffolk,12/7 - 12/11,1000 RV,3.1,40.0,47.0,Biden+7,-7.0,RV,1000,2023-12-11,12,2023,344,2023-12-11,36.9,29.6,29.6,36.9
247,Harvard-Harris,11/16 - 11/17,2212 RV,—,44.0,42.0,Trump+2,2.0,RV,2212,2023-11-17,11,2023,320,2023-11-17,35.0,29.3,29.3,35.0
248,Wall Street Journal,10/22 - 10/26,1500 RV,2.5,46.0,46.0,Tie,0.0,RV,1500,2023-10-26,10,2023,298,2023-10-26,33.8,31.3,31.3,33.8
249,USA Today/Suffolk,10/19 - 10/24,1000 LV,3.1,42.0,46.0,Biden+4,-4.0,LV,1000,2023-10-24,10,2023,296,2023-10-24,33.9,31.0,31.0,33.9
250,Rasmussen Reports,10/12 - 10/13,1000 LV,3.0,44.0,40.0,Trump+4,4.0,LV,1000,2023-10-13,10,2023,285,2023-10-13,33.8,31.6,31.6,33.8
251,Harvard-Harris,10/12 - 10/13,2010 RV,—,45.0,43.0,Trump+2,2.0,RV,2010,2023-10-13,10,2023,285,2023-10-13,33.8,31.6,31.6,33.8
252,NY Times/Siena,10/9 - 10/12,792 LV,4.1,45.0,44.0,Trump+1,1.0,LV,792,2023-10-12,10,2023,284,2023-10-12,34.2,31.3,31.3,34.2
253,Emerson,9/20 - 9/21,1368 LV,2.6,44.0,45.0,Biden+1,-1.0,LV,1368,2023-09-21,9,2023,263,2023-09-21,29.6,31.8,31.8,29.6
254,ABC News/Wash Post,9/18 - 9/21,908 RV,4.0,48.0,46.0,Trump+2,2.0,RV,908,2023-09-21,9,2023,263,2023-09-21,29.6,31.8,31.8,29.6
255,Harvard-Harris,9/7 - 9/8,1885 RV,—,45.0,42.0,Trump+3,3.0,RV,1885,2023-09-08,9,2023,250,2023-09-08,28.6,34.0,34.0,28.6
256,Wall Street Journal,8/17 - 8/25,1313 RV,2.7,44.0,50.0,Biden+6,-6.0,RV,1313,2023-08-25,8,2023,236,2023-08-25,27.3,35.0,35.0,27.3
257,Harvard-Harris,7/27 - 7/28,1885 RV,—,45.0,41.0,Trump+4,4.0,RV,1885,2023-07-28,7,2023,208,2023-07-28,27.6,32.5,32.5,27.6
258,Trafalgar Group (R),7/11 - 7/14,1085 LV,2.9,48.0,43.0,Trump+5,5.0,LV,1085,2023-07-14,7,2023,194,2023-07-14,27.1,33.8,33.8,27.1
259,NY Times/Siena,7/5 - 7/7,849 RV,4.1,41.0,44.0,Biden+3,-3.0,RV,849,2023-07-07,7,2023,187,2023-07-07,25.9,33.8,33.8,25.9
260,Harvard-Harris,6/28 - 6/29,1308 RV,—,43.0,40.0,Trump+3,3.0,RV,1308,2023-06-29,6,2023,179,2023-06-29,24.9,34.5,34.5,24.9
261,Emerson,6/28 - 6/29,1271 RV,2.7,44.0,39.0,Trump+5,5.0,RV,1271,2023-06-29,6,2023,179,2023-06-29,24.9,34.5,34.5,24.9
262,Emerson,5/24 - 5/25,1148 RV,2.8,44.0,42.0,Trump+2,2.0,RV,1148,2023-05-25,5,2023,144,2023-05-25,26.2,35.8,35.8,26.2
263,Harvard-Harris,5/18 - 5/19,1963 RV,—,45.0,42.0,Trump+3,3.0,RV,1963,2023-05-19,5,2023,138,2023-05-19,27.7,36.6,36.6,27.7
264,Emerson,4/25 - 4/26,1000 RV,3.0,43.0,42.0,Trump+1,1.0,RV,1000,2023-04-26,4,2023,115,2023-04-26,28.5,38.7,38.7,28.5
265,Federalist/Susquehanna,4/19 - 4/27,800 LV,3.5,46.0,48.0,Biden+2,-2.0,LV,800,2023-04-27,4,2023,116,2023-04-27,27.8,39.0,39.0,27.8
266,Insider Advantage,4/21 - 4/23,750 LV,3.6,47.0,43.0,Trump+4,4.0,LV,750,2023-04-23,4,2023,112,2023-04-23,27.8,36.3,36.3,27.8
267,Harvard-Harris,4/20 - 4/21,1966 RV,—,45.0,43.0,Trump+2,2.0,RV,1966,2023-04-21,4,2023,110,2023-04-21,27.7,35.5,35.5,27.7
268,Harvard-Harris,3/23 - 3/24,1990 RV,—,47.0,41.0,Trump+6,6.0,RV,1990,2023-03-24,3,2023,82,2023-03-24,24.1,31.7,31.7,24.1
269,Wall Street Journal,3/2 - 3/7,1500 RV,2.5,45.0,45.0,Tie,0.0,RV,1500,2023-03-07,3,2023,65,2023-03-07,23.9,30.0,30.0,23.9
270,Harvard-Harris,2/23 - 2/24,2026 RV,—,48.0,42.0,Trump+6,6.0,RV,2026,2023-02-24,2,2023,54,2023-02-24,22.7,29.3,29.3,22.7
271,Emerson,2/19 - 2/20,1138 RV,2.8,48.0,44.0,Trump+4,4.0,RV,1138,2023-02-20,2,2023,50,2023-02-20,22.4,29.0,29.0,22.4
272,Federalist/Susquehanna,2/3 - 2/9,800 LV,3.4,43.0,46.0,Biden+3,-3.0,LV,800,2023-02-09,2,2023,39,2023-02-09,21.4,28.0,28.0,21.4
273,Politico/Morning Consult,1/22 - 1/23,2005 RV,2.0,44.0,45.0,Biden+1,-1.0,RV,2005,2023-01-23,1,2023,22,2023-01-23,18.8,25.0,25.0,18.8
274,InsiderAdvantage,12/17 - 12/19,750 RV,3.6,49.0,41.0,Trump+8,8.0,RV,750,2023-12-19,12,2023,352,2023-12-19,37.1,30.1,30.1,37.1
275,Harvard-Harris,11/30 - 12/2,1989 RV,—,48.0,45.0,Trump+3,3.0,RV,1989,2023-12-02,12,2023,335,2023-12-02,36.4,28.4,28.4,36.4
276,Rasmussen Reports,11/22 - 11/23,1200 LV,3.0,45.0,32.0,Trump+13,13.0,LV,1200,2023-11-23,11,2023,326,2023-11-23,36.0,28.1,28.1,36.0
277,Wall Street Journal,11/16 - 11/22,1500 RV,2.5,45.0,46.0,Biden+1,-1.0,RV,1500,2023-11-22,11,2023,325,2023-11-22,35.9,28.1,28.1,35.9
278,Emerson,11/3 - 11/4,1000 RV,3.0,45.0,43.0,Trump+2,2.0,RV,1000,2023-11-04,11,2023,307,2023-11-04,33.9,31.1,31.1,33.9
279,Harvard-Harris,10/26 - 10/28,1578 RV,—,46.0,45.0,Trump+1,1.0,RV,1578,2023-10-28,10,2023,300,2023-10-28,33.8,31.3,31.3,33.8
280,Rasmussen Reports,9/21 - 9/22,1000 LV,3.0,51.0,41.0,Trump+10,10.0,LV,1000,2023-09-22,9,2023,264,2023-09-22,29.6,31.9,31.9,29.6
281,Emerson,8/30 - 9/1,1200 RV,2.7,47.0,46.0,Trump+1,1.0,RV,1200,2023-09-01,9,2023,243,2023-09-01,27.5,34.4,34.4,27.5
